I,163.529999,170.789993,157.600006,170.279999,170.279999,35028600
D,152.320007,159.130005,143.100006,146.009995,146.009995,39120400
D,150.740005,153.940002,140,149.419998,149.419998,34255600
I,139.75,148.179993,137.100006,146.960007,146.960007,37553100
I,146.619995,159.929993,144.800003,153.130005,153.130005,39862300
D,156.020004,159.270004,148,149.729996,149.729996,32568400
D,149.660004,152.309998,142.25,148.100006,148.100006,29830800
I,155.210007,161.309998,152.570007,160.979996,160.979996,30440400
D,158.919998,162.990005,153.059998,156.210007,156.210007,35184300
I,158.25,164,157.020004,163.339996,163.339996,26556800
D,158.199997,160.089996,154.75,156.789993,156.789993,24879900
I,159.179993,166.75,158.059998,165.949997,165.949997,22515200
I,165.479996,170.929993,164.199997,166.800003,166.800003,23676300
D,161.619995,164.149994,158.039993,159.600006,159.600006,19507600
D,159.100006,161.350006,155.919998,158.190002,158.190002,20886300
D,157.149994,157.910004,150.830002,154.179993,154.179993,25983300
I,160.149994,166.199997,158.509995,165.550003,165.550003,28453600
D,171.789993,173.389999,166.009995,168.830002,168.830002,31411900
I,171.25,175,167.740005,174.279999,174.279999,21664200
D,175.899994,177.080002,171.570007,175.190002,175.190002,23534300
I,173.669998,175,169.449997,174.789993,174.789993,19355400
D,178.979996,181.229996,176.619995,178.169998,178.169998,21011800
I,175.190002,178.190002,172.820007,176.970001,176.970001,17423000
D,177.949997,178.050003,172.509995,176.25,176.25,23593200
I,179.199997,180.279999,176.660004,179.240005,179.240005,20974800
I,177.410004,180.5,176.770004,178.240005,178.240005,16110700
D,175.25,175.380005,168.339996,170.800003,170.800003,24850500
I,178.449997,184.779999,178.139999,182.279999,182.279999,33242000
I,184.080002,187.050003,183.149994,185.130005,185.130005,21426600
I,183.229996,190.410004,180.830002,190.070007,190.070007,28792000
D,192.660004,193.75,187.410004,187.5,187.5,29197800
D,188.660004,189.199997,182.559998,182.910004,182.910004,21731000
I,190.929993,196.910004,190,194.190002,194.190002,45954500
D,206.919998,209.690002,201.570007,204.710007,204.710007,46230100
I,201.600006,207.279999,199.050003,202.270004,202.270004,30415600
I,200.199997,205.910004,198.759995,205.259995,205.259995,19250700
I,207.020004,210.380005,206.5,207.070007,207.070007,21071200
I,208.119995,211.600006,206.660004,208.470001,208.470001,21857000
I,211.160004,211.600006,209.039993,211.259995,211.259995,15152000
I,212.240005,213.210007,210.850006,212.350006,212.350006,12506000
I,210.889999,215,210.369995,213.179993,213.179993,12911900
D,213.289993,215.279999,210,210.100006,210.100006,14704600
