I/D,Date,Open,High,Low,Close,Adj Close,Volume
I,3/13/20,163.529999,170.789993,157.600006,170.279999,170.279999,35028600
D,3/16/20,152.320007,159.130005,143.100006,146.009995,146.009995,39120400
D,3/17/20,150.740005,153.940002,140,149.419998,149.419998,34255600
I,3/18/20,139.75,148.179993,137.100006,146.960007,146.960007,37553100
I,3/19/20,146.619995,159.929993,144.800003,153.130005,153.130005,39862300
D,3/20/20,156.020004,159.270004,148,149.729996,149.729996,32568400
D,3/23/20,149.660004,152.309998,142.25,148.100006,148.100006,29830800
I,3/24/20,155.210007,161.309998,152.570007,160.979996,160.979996,30440400
D,3/25/20,158.919998,162.990005,153.059998,156.210007,156.210007,35184300
I,3/26/20,158.25,164,157.020004,163.339996,163.339996,26556800
D,3/27/20,158.199997,160.089996,154.75,156.789993,156.789993,24879900
I,3/30/20,159.179993,166.75,158.059998,165.949997,165.949997,22515200
I,3/31/20,165.479996,170.929993,164.199997,166.800003,166.800003,23676300
D,4/1/20,161.619995,164.149994,158.039993,159.600006,159.600006,19507600
D,4/2/20,159.100006,161.350006,155.919998,158.190002,158.190002,20886300
D,4/3/20,157.149994,157.910004,150.830002,154.179993,154.179993,25983300
I,4/6/20,160.149994,166.199997,158.509995,165.550003,165.550003,28453600
D,4/7/20,171.789993,173.389999,166.009995,168.830002,168.830002,31411900
I,4/8/20,171.25,175,167.740005,174.279999,174.279999,21664200
D,4/9/20,175.899994,177.080002,171.570007,175.190002,175.190002,23534300
I,4/13/20,173.669998,175,169.449997,174.789993,174.789993,19355400
D,4/14/20,178.979996,181.229996,176.619995,178.169998,178.169998,21011800
I,4/15/20,175.190002,178.190002,172.820007,176.970001,176.970001,17423000
D,4/16/20,177.949997,178.050003,172.509995,176.25,176.25,23593200
I,4/17/20,179.199997,180.279999,176.660004,179.240005,179.240005,20974800
I,4/20/20,177.410004,180.5,176.770004,178.240005,178.240005,16110700
D,4/21/20,175.25,175.380005,168.339996,170.800003,170.800003,24850500
I,4/22/20,178.449997,184.779999,178.139999,182.279999,182.279999,33242000
I,4/23/20,184.080002,187.050003,183.149994,185.130005,185.130005,21426600
I,4/24/20,183.229996,190.410004,180.830002,190.070007,190.070007,28792000
D,4/27/20,192.660004,193.75,187.410004,187.5,187.5,29197800
D,4/28/20,188.660004,189.199997,182.559998,182.910004,182.910004,21731000
I,4/29/20,190.929993,196.910004,190,194.190002,194.190002,45954500
D,4/30/20,206.919998,209.690002,201.570007,204.710007,204.710007,46230100
I,5/1/20,201.600006,207.279999,199.050003,202.270004,202.270004,30415600
I,5/4/20,200.199997,205.910004,198.759995,205.259995,205.259995,19250700
I,5/5/20,207.020004,210.380005,206.5,207.070007,207.070007,21071200
I,5/6/20,208.119995,211.600006,206.660004,208.470001,208.470001,21857000
I,5/7/20,211.160004,211.600006,209.039993,211.259995,211.259995,15152000
I,5/8/20,212.240005,213.210007,210.850006,212.350006,212.350006,12506000
