Date,Open,High,Low,Close,Adj Close,Volume
20200312,116.178001,118.900002,109.25,112.110001,112.110001,94545500
20200313,119,121.514,100.400002,109.323997,109.323997,113201500
20200316,93.900002,98.973999,88.433998,89.014,89.014,102447500
20200317,88.001999,94.370003,79.199997,86.040001,86.040001,119973000
20200318,77.800003,80.972,70.101997,72.244003,72.244003,118931000
20200319,74.940002,90.400002,71.692001,85.528,85.528,150977500
20200320,87.639999,95.400002,85.157997,85.505997,85.505997,141427500
20200323,86.720001,88.400002,82.099998,86.858002,86.858002,82272500
20200324,95.459999,102.737999,94.800003,101,101,114476000
20200325,109.050003,111.400002,102.222,107.849998,107.849998,106113500
20200326,109.477997,112,102.449997,105.632004,105.632004,86903500
20200327,101,105.160004,98.806,102.872002,102.872002,71887000
20200330,102.052002,103.330002,98.246002,100.426003,100.426003,59990500
20200331,100.25,108.592003,99.400002,104.800003,104.800003,88857500
20200401,100.800003,102.790001,95.019997,96.311996,96.311996,66766000
20200402,96.206001,98.851997,89.279999,90.893997,90.893997,99292000
20200403,101.900002,103.098,93.678001,96.001999,96.001999,112810500
20200406,102.239998,104.199997,99.592003,103.248001,103.248001,74509000
20200407,109,113,106.468002,109.089996,109.089996,89599000
20200408,110.839996,111.442001,106.666,109.767998,109.767998,63280000
20200409,112.417999,115.036003,111.421997,114.599998,114.599998,68250000
20200413,118.031998,130.399994,116.106003,130.190002,130.190002,112377000
20200414,139.794006,148.376007,138.485992,141.977997,141.977997,152882500
20200415,148.399994,150.626007,142,145.966003,145.966003,117885000
20200416,143.388,151.889999,141.343994,149.042007,149.042007,103289500
20200417,154.455994,154.990005,149.531998,150.778,150.778,65641000
20200420,146.539993,153.113998,142.442001,149.272003,149.272003,73733000
20200421,146.024002,150.666,134.757996,137.343994,137.343994,101045500
20200422,140.796005,146.800003,137.742004,146.421997,146.421997,70827500
20200423,145.520004,146.800003,140.626007,141.126007,141.126007,66183500
20200424,142.162003,146.145996,139.636002,145.029999,145.029999,66060000
20200427,147.522003,159.897995,147,159.75,159.75,103407000
20200428,159.128006,161,151.337997,153.824005,153.824005,76110000
20200429,158.033997,160.639999,156.632004,160.102005,160.102005,81080000
20200430,171.037994,173.964005,152.699997,156.376007,156.376007,142359500
20200501,151,154.554001,136.608002,140.264008,140.264008,162659000
20200504,140.199997,152.399994,139.600006,152.238007,152.238007,96185500
20200505,157.957993,159.783997,152.436005,153.641998,153.641998,84958500
20200506,155.300003,157.960007,152.222,156.516006,156.516006,55616000
20200507,155.442001,159.279999,154.470001,156.007996,156.007996,57638500
20200508,158.753998,164.800003,157.401993,163.884003,163.884003,80432500
20200511,158.102005,164.800003,157,162.257996,162.257996,82598000
20200512,165.399994,168.658005,161.600006,161.882004,161.882004,79534500
20200513,164.166,165.199997,152.660004,158.192001,158.192001,95327500
20200514,156,160.671997,152.800003,160.666,160.666,68411000
20200515,158.070007,161.009995,157.309998,159.834,159.834,52592000
20200518,165.556,166.944,160.776001,162.725998,162.725998,58329000
20200519,163.033997,164.414001,161.216003,161.602005,161.602005,48182500
20200520,164.100006,165.199997,162.360001,163.112,163.112,36546500
20200521,163.199997,166.5,159.199997,165.520004,165.520004,61273000
20200522,164.434006,166.356003,162.399994,163.376007,163.376007,49937500
20200526,166.899994,166.919998,163.141998,163.774002,163.774002,40448500
20200527,164.171997,165.542007,157,164.046005,164.046005,57747500
20200528,162.701996,164.949997,160.337997,161.162003,161.162003,36278000
20200529,161.75,167,160.841995,167,167,58822500
20200601,171.600006,179.800003,170.820007,179.619995,179.619995,74697500
20200602,178.940002,181.731995,174.199997,176.311996,176.311996,67828000
20200603,177.623993,179.587997,176.020004,176.591995,176.591995,39747500
20200604,177.975998,179.149994,171.688004,172.876007,172.876007,44438500
20200605,175.567993,177.304001,173.240005,177.132004,177.132004,39059500
20200608,183.800003,190,181.832001,189.983994,189.983994,70873500
20200609,188.001999,190.888,184.785995,188.134003,188.134003,56941000
20200610,198.376007,205.496002,196.5,205.009995,205.009995,92817000
20200611,198.039993,203.792007,194.399994,194.567993,194.567993,79582500
20200612,196,197.595993,182.520004,187.056,187.056,83817000
20200615,183.557999,199.768005,181.699997,198.179993,198.179993,78486000
20200616,202.369995,202.576004,192.477997,196.425995,196.425995,70255500
20200617,197.542007,201,196.514008,198.358002,198.358002,49454000
20200618,200.600006,203.839996,198.893997,200.792007,200.792007,48759500
20200619,202.556,203.194,198.268005,200.179993,200.179993,43398500
20200622,199.990005,201.776001,198.003998,198.863998,198.863998,31812000
20200623,199.776001,202.399994,198.802002,200.356003,200.356003,31826500
20200624,198.822006,200.175995,190.628006,192.169998,192.169998,54798000
20200625,190.854004,197.195999,187.429993,197.195999,197.195999,46272500
20200626,198.955994,199,190.973999,191.947998,191.947998,44274500
20200629,193.802002,202,189.703995,201.869995,201.869995,45132000
20200630,201.300003,217.537994,200.746002,215.962006,215.962006,84592500
20200701,216.600006,227.065994,216.100006,223.925995,223.925995,66634500
20200702,244.296005,245.600006,237.119995,241.731995,241.731995,86250500
20200706,255.337997,275.558014,253.207993,274.31601,274.31601,102849500
20200707,281.002014,285.899994,267.34201,277.971985,277.971985,107448500
20200708,281,283.451996,262.268005,273.175995,273.175995,81556500
20200709,279.39801,281.712006,270.256012,278.855988,278.855988,58588000
20200710,279.200012,309.783997,275.201996,308.929993,308.929993,116688000
20200713,331.799988,358.997986,294.221985,299.411987,299.411987,194927000
20200714,311.200012,318,286.200012,303.359985,303.359985,117090500
20200715,308.600006,310,291.399994,309.201996,309.201996,81839000
20200716,295.432007,306.34201,293.200012,300.127991,300.127991,71504000
20200717,302.690002,307.502014,298,300.167999,300.167999,46650000
20200720,303.802002,330,297.600006,328.600006,328.600006,85607000
20200721,327.985992,335,311.600006,313.671997,313.671997,80536000
20200722,319.799988,325.283997,312.399994,318.466003,318.466003,70805500
20200723,335.790009,337.799988,296.153992,302.614014,302.614014,121642500
20200724,283.201996,293,273.308014,283.399994,283.399994,96983000
20200727,287,309.588013,282.600006,307.920013,307.920013,80243500
20200728,300.799988,312.940002,294.884003,295.298004,295.298004,79043500
20200729,300.200012,306.962006,297.399994,299.821991,299.821991,47134500
20200730,297.600006,302.64801,294.200012,297.497986,297.497986,38105000
20200731,303,303.410004,284.196014,286.152008,286.152008,61041000
20200803,289.839996,301.962006,288.876007,297,297,44046500
20200804,299.002014,305.481995,292.399994,297.399994,297.399994,42075000
20200805,298.597992,299.967987,293.661987,297.003998,297.003998,24739000
20200806,298.165985,303.462006,295.451996,297.915985,297.915985,29961500
20200807,299.90799,299.950012,283.002014,290.541992,290.541992,44482000
20200810,289.600006,291.5,277.167999,283.713989,283.713989,37611500
20200811,279.200012,284,273,274.877991,274.877991,43129000
20200812,294,317,287,310.951996,310.951996,109147000
20200813,322.200012,330.235992,313.451996,324.200012,324.200012,102126500
20200814,332.997986,333.76001,325.328003,330.141998,330.141998,62888000
20200817,335.399994,369.171997,334.56601,367.127991,367.127991,101211500
20200818,379.798004,384.779999,369.022003,377.417999,377.417999,82372500
20200819,373,382.200012,368.242004,375.705994,375.705994,61026500
20200820,372.135986,404.39801,371.411987,400.365997,400.365997,103059000
20200821,408.951996,419.097992,405.01001,409.996002,409.996002,107448000
20200824,425.256012,425.799988,385.503998,402.839996,402.839996,100318000
20200825,394.977997,405.589996,393.600006,404.667999,404.667999,53294500
20200826,412,433.200012,410.726013,430.634003,430.634003,71197000
